Alpha,Tail 0 deg, , Alpha,Tain -1 deg, , Alpha,Tain -2 deg, , Alpha,Tain -3 deg, , Alpha,Tain 1 deg, , Alpha,Tain 2 deg, , Alpha,Tain 3 deg, , Alpha,Tain 4 deg, , Alpha,Tain 5 deg, , 
           -1,     0.0184416, ,            -1,    0.01829784, ,            -1,    0.01832623, ,          -0.6,    0.01876095, ,            -1,    0.01876077, ,            -1,    0.01910186, ,            -1,    0.01951768, ,            -1,    0.02005473, ,            -1,    0.02073323, , 
         -0.8,    0.01867719, ,          -0.8,     0.0184972, ,          -0.8,    0.01849069, ,          -0.4,     0.0189566, ,          -0.8,    0.01903073, ,          -0.8,     0.0193984, ,          -0.8,    0.01984223, ,          -0.8,    0.02040802, ,          -0.8,    0.02111626, , 
         -0.6,    0.01894804, ,          -0.6,    0.01873283, ,          -0.6,    0.01869124, ,          -0.2,    0.01918654, ,          -0.6,     0.0193352, ,          -0.6,    0.01972887, ,          -0.6,    0.02020216, ,          -0.6,    0.02079756, ,          -0.6,    0.02153816, , 
         -0.4,    0.01926856, ,          -0.4,    0.01901558, ,          -0.4,    0.01893611, ,             0,    0.01944794, ,          -0.4,    0.01969144, ,          -0.4,    0.02011288, ,          -0.4,    0.02061648, ,          -0.4,    0.02124042, ,          -0.4,    0.02201186, , 
         -0.2,       0.01962, ,          -0.2,    0.01933301, ,          -0.2,    0.01921858, ,           0.2,    0.01974159, ,          -0.2,    0.02007559, ,          -0.2,     0.0205225, ,          -0.2,    0.02105485, ,          -0.2,    0.02170586, ,          -0.2,    0.02250704, , 
            0,    0.01999418, ,             0,    0.01967278, ,             0,    0.01952226, ,           0.4,    0.02006446, ,             0,    0.02048292, ,             0,     0.0209562, ,             0,    0.02151746, ,             0,    0.02219656, ,             0,    0.02302741, , 
          0.2,    0.02039465, ,           0.2,    0.02003883, ,           0.2,    0.01985162, ,           0.6,    0.02041162, ,           0.2,    0.02091644, ,           0.2,    0.02141734, ,           0.2,    0.02200766, ,           0.2,    0.02271576, ,           0.2,    0.02357702, , 
          0.4,    0.02082532, ,           0.4,    0.02043522, ,           0.4,    0.02021047, ,           0.8,    0.02077782, ,           0.4,    0.02137965, ,           0.4,    0.02190835, ,           0.4,    0.02252718, ,           0.4,    0.02326365, ,           0.4,    0.02415504, , 
          0.6,    0.02127851, ,           0.6,    0.02085499, ,           0.6,    0.02059311, ,             1,    0.02116748, ,           0.6,    0.02186429, ,           0.6,     0.0224212, ,           0.6,    0.02306816, ,           0.6,    0.02383288, ,           0.6,    0.02475378, , 
          0.8,    0.02175098, ,           0.8,    0.02129409, ,           0.8,    0.02099481, ,           1.2,    0.02158258, ,           0.8,    0.02236807, ,           0.8,     0.0229544, ,           0.8,    0.02362983, ,           0.8,     0.0244236, ,           0.8,    0.02537395, , 
            1,    0.02224891, ,             1,    0.02175831, ,             1,    0.02142062, ,           1.4,    0.02202124, ,             1,    0.02289691, ,             1,     0.0235136, ,             1,    0.02421768, ,             1,    0.02504141, ,             1,    0.02602014, , 
          1.2,    0.02277194, ,           1.2,     0.0222481, ,           1.2,    0.02187151, ,           1.6,    0.02248098, ,           1.2,    0.02345059, ,           1.2,    0.02409786, ,           1.2,    0.02483049, ,           1.2,    0.02568482, ,           1.2,    0.02669096, , 
          1.4,    0.02331822, ,           1.4,     0.0227613, ,           1.4,    0.02234567, ,           1.8,    0.02295869, ,           1.4,    0.02402749, ,           1.4,    0.02470597, ,           1.4,     0.0254668, ,           1.4,    0.02635181, ,           1.4,    0.02738483, , 
