Alpha,Tail 0 deg, , Alpha,Tain -1 deg, , Alpha,Tain -2 deg, , Alpha,Tain -3 deg, , Alpha,Tain 1 deg, , Alpha,Tain 2 deg, , Alpha,Tain 3 deg, , Alpha,Tain 4 deg, , Alpha,Tain 5 deg, , 
           -1,     0.2376115, ,            -1,     0.2170417, ,            -1,     0.1979052, ,          -0.6,     0.2175679, ,            -1,     0.2539518, ,            -1,     0.2706602, ,            -1,     0.2877492, ,            -1,      0.305143, ,            -1,     0.3226537, , 
         -0.8,     0.2572394, ,          -0.8,     0.2366926, ,          -0.8,      0.217579, ,          -0.4,     0.2372732, ,          -0.8,     0.2736304, ,          -0.8,     0.2903675, ,          -0.8,     0.3074733, ,          -0.8,     0.3248782, ,          -0.8,     0.3423992, , 
         -0.6,     0.2768624, ,          -0.6,      0.256339, ,          -0.6,     0.2372487, ,          -0.2,     0.2569741, ,          -0.6,     0.2933035, ,          -0.6,      0.310069, ,          -0.6,     0.3271913, ,          -0.6,     0.3446069, ,          -0.6,     0.3621379, , 
         -0.4,       0.29648, ,          -0.4,     0.2759806, ,          -0.4,      0.256914, ,             0,     0.2766701, ,          -0.4,     0.3129709, ,          -0.4,     0.3297642, ,          -0.4,     0.3469027, ,          -0.4,     0.3643286, ,          -0.4,     0.3818691, , 
         -0.2,     0.3160918, ,          -0.2,     0.2956167, ,          -0.2,     0.2765743, ,           0.2,     0.2963607, ,          -0.2,     0.3326319, ,          -0.2,     0.3494527, ,          -0.2,      0.366607, ,          -0.2,     0.3840427, ,          -0.2,     0.4015924, , 
            0,     0.3356972, ,             0,      0.315247, ,             0,     0.2962293, ,           0.4,     0.3160454, ,             0,     0.3522861, ,             0,     0.3691341, ,             0,     0.3863037, ,             0,     0.4037489, ,             0,     0.4213074, , 
          0.2,     0.3552957, ,           0.2,     0.3348709, ,           0.2,     0.3158784, ,           0.6,     0.3357238, ,           0.2,     0.3719331, ,           0.2,     0.3888078, ,           0.2,     0.4059924, ,           0.2,     0.4234467, ,           0.2,     0.4410136, , 
          0.4,      0.374887, ,           0.4,      0.354488, ,           0.4,     0.3355211, ,           0.8,     0.3553954, ,           0.4,     0.3915724, ,           0.4,     0.4084734, ,           0.4,     0.4256725, ,           0.4,     0.4431356, ,           0.4,     0.4607105, , 
          0.6,     0.3944705, ,           0.6,     0.3740978, ,           0.6,      0.355157, ,             1,     0.3750597, ,           0.6,     0.4112034, ,           0.6,     0.4281303, ,           0.6,     0.4453437, ,           0.6,     0.4628151, ,           0.6,     0.4803977, , 
          0.8,     0.4140458, ,           0.8,     0.3936998, ,           0.8,     0.3747857, ,           1.2,     0.3947162, ,           0.8,     0.4308258, ,           0.8,     0.4477782, ,           0.8,     0.4650054, ,           0.8,     0.4824847, ,           0.8,     0.5000746, , 
            1,     0.4336124, ,             1,     0.4132936, ,             1,     0.3944066, ,           1.4,     0.4143646, ,             1,     0.4504391, ,             1,     0.4674166, ,             1,     0.4846571, ,             1,      0.502144, ,             1,     0.5197408, , 
          1.2,     0.4531697, ,           1.2,     0.4328787, ,           1.2,     0.4140193, ,           1.6,     0.4340043, ,           1.2,     0.4700427, ,           1.2,     0.4870449, ,           1.2,     0.5042985, ,           1.2,     0.5217925, ,           1.2,     0.5393958, , 
          1.4,     0.4727175, ,           1.4,     0.4524547, ,           1.4,     0.4336233, ,           1.8,     0.4536348, ,           1.4,     0.4896363, ,           1.4,     0.5066628, ,           1.4,     0.5239289, ,           1.4,     0.5414297, ,           1.4,     0.5590392, , 
          1.6,     0.4922551, ,           1.6,     0.4720209, ,           1.6,     0.4532182, ,             2,     0.4732557, ,           1.6,     0.5092193, ,           1.6,     0.5262696, ,           1.6,      0.543548, ,           1.6,     0.5610552, ,           1.6,     0.5786704, , 
          1.8,     0.5117821, ,           1.8,     0.4915771, ,           1.8,     0.4728034, ,           2.2,     0.4928666, ,           1.8,     0.5287913, ,           1.8,     0.5458651, ,           1.8,     0.5631553, ,           1.8,     0.5806685, ,           1.8,      0.598289, , 
            2,     0.5312981, ,             2,     0.5111227, ,             2,     0.4923786, ,           2.4,     0.5124669, ,             2,     0.5483518, ,             2,     0.5654486, ,             2,     0.5827503, ,             2,     0.6002691, ,             2,     0.6178946, , 
          2.2,     0.5508025, ,           2.2,     0.5306572, ,           2.2,     0.5119432, ,           2.6,     0.5320563, ,           2.2,     0.5679003, ,           2.2,     0.5850198, ,           2.2,     0.6023325, ,           2.2,     0.6198565, ,           2.2,     0.6374867, , 
          2.4,      0.570295, ,           2.4,     0.5501802, ,           2.4,     0.5314969, ,           2.8,     0.5516341, ,           2.4,     0.5874364, ,           2.4,     0.6045781, ,           2.4,     0.6219014, ,           2.4,     0.6394303, ,           2.4,     0.6570648, , 
          2.6,      0.589775, ,           2.6,     0.5696912, ,           2.6,     0.5510391, ,             3,     0.5712001, ,           2.6,     0.6069597, ,           2.6,     0.6241232, ,           2.6,     0.6414567, ,           2.6,     0.6589901, ,           2.6,     0.6766284, , 
          2.8,     0.6092421, ,           2.8,     0.5891897, ,           2.8,     0.5705693, ,           3.2,     0.5907536, ,           2.8,     0.6264696, ,           2.8,     0.6436544, ,           2.8,     0.6609978, ,           2.8,     0.6785352, ,           2.8,      0.696177, , 
            3,     0.6286958, ,             3,     0.6086754, ,             3,     0.5900872, ,           3.4,     0.6102943, ,             3,     0.6459656, ,             3,     0.6631715, ,             3,     0.6805243, ,             3,     0.6980654, ,             3,     0.7157103, , 
