Alpha,Tail 0 deg, , Alpha,Tain -1 deg, , Alpha,Tain -2 deg, , Alpha,Tain -3 deg, , Alpha,Tain 1 deg, , Alpha,Tain 2 deg, , Alpha,Tain 3 deg, , Alpha,Tain 4 deg, , Alpha,Tain 5 deg, , 
           -1,   -0.05785983, ,            -1,    0.00257792, ,            -1,    0.05893364, ,          -0.6,     0.1129173, ,            -1,    -0.1054748, ,            -1,    -0.1543689, ,            -1,    -0.2044758, ,            -1,    -0.2555174, ,            -1,    -0.3069252, , 
         -0.8,   -0.05967086, ,          -0.8,  0.0007068255, ,          -0.8,    0.05699076, ,          -0.4,     0.1108481, ,          -0.8,    -0.1074483, ,          -0.8,    -0.1564345, ,          -0.8,    -0.2065973, ,          -0.8,    -0.2576782, ,          -0.8,    -0.3091244, , 
         -0.6,   -0.06148253, ,          -0.6,  -0.001166347, ,          -0.6,    0.05504444, ,          -0.2,     0.1087745, ,          -0.6,    -0.1094212, ,          -0.6,    -0.1584984, ,          -0.6,    -0.2087159, ,          -0.6,    -0.2598348, ,          -0.6,    -0.3113184, , 
         -0.4,   -0.06329477, ,          -0.4,  -0.003041507, ,          -0.4,    0.05309479, ,             0,     0.1066968, ,          -0.4,    -0.1113936, ,          -0.4,    -0.1605604, ,          -0.4,    -0.2108316, ,          -0.4,    -0.2619872, ,          -0.4,     -0.313507, , 
         -0.2,   -0.06510741, ,          -0.2,  -0.004918499, ,          -0.2,    0.05114197, ,           0.2,     0.1046148, ,          -0.2,    -0.1133652, ,          -0.2,    -0.1626205, ,          -0.2,     -0.212944, ,          -0.2,    -0.2641353, ,          -0.2,    -0.3156901, , 
            0,   -0.06692034, ,             0,  -0.006797214, ,             0,    0.04918609, ,           0.4,     0.1025287, ,             0,    -0.1153359, ,             0,    -0.1646784, ,             0,    -0.2150532, ,             0,    -0.2662789, ,             0,    -0.3178676, , 
          0.2,   -0.06873347, ,           0.2,  -0.008677564, ,           0.2,    0.04722724, ,           0.6,     0.1004384, ,           0.2,    -0.1173056, ,           0.2,    -0.1667342, ,           0.2,    -0.2171591, ,           0.2,     -0.268418, ,           0.2,    -0.3200395, , 
          0.4,    -0.0705467, ,           0.4,   -0.01055945, ,           0.4,    0.04526553, ,           0.8,    0.09834409, ,           0.4,    -0.1192742, ,           0.4,    -0.1687876, ,           0.4,    -0.2192614, ,           0.4,    -0.2705524, ,           0.4,    -0.3222055, , 
          0.6,   -0.07235994, ,           0.6,   -0.01244279, ,           0.6,    0.04330105, ,             1,    0.09624586, ,           0.6,    -0.1212417, ,           0.6,    -0.1708386, ,           0.6,    -0.2213602, ,           0.6,     -0.272682, ,           0.6,    -0.3243657, , 
          0.8,   -0.07417312, ,           0.8,   -0.01432749, ,           0.8,    0.04133389, ,           1.2,    0.09414381, ,           0.8,    -0.1232078, ,           0.8,    -0.1728872, ,           0.8,    -0.2234553, ,           0.8,    -0.2748069, ,           0.8,      -0.32652, , 
            1,   -0.07598613, ,             1,   -0.01621345, ,             1,    0.03936414, ,           1.4,    0.09203804, ,             1,    -0.1251725, ,             1,    -0.1749332, ,             1,    -0.2255467, ,             1,    -0.2769269, ,             1,    -0.3286681, , 
          1.2,   -0.07779886, ,           1.2,    -0.0181006, ,           1.2,    0.03739191, ,           1.6,    0.08992862, ,           1.2,    -0.1271357, ,           1.2,    -0.1769764, ,           1.2,    -0.2276342, ,           1.2,    -0.2790419, ,           1.2,    -0.3308101, , 
          1.4,   -0.07961125, ,           1.4,   -0.01998882, ,           1.4,    0.03541729, ,           1.8,    0.08781565, ,           1.4,    -0.1290973, ,           1.4,     -0.179017, ,           1.4,    -0.2297177, ,           1.4,    -0.2811518, ,           1.4,    -0.3329458, , 
          1.6,   -0.08142321, ,           1.6,   -0.02187805, ,           1.6,    0.03344036, ,             2,    0.08569926, ,           1.6,    -0.1310571, ,           1.6,    -0.1810547, ,           1.6,    -0.2317973, ,           1.6,    -0.2832566, ,           1.6,    -0.3350752, , 
          1.8,   -0.08323466, ,           1.8,   -0.02376822, ,           1.8,    0.03146118, ,           2.2,    0.08357953, ,           1.8,    -0.1330153, ,           1.8,    -0.1830895, ,           1.8,    -0.2338727, ,           1.8,    -0.2853562, ,           1.8,    -0.3371981, , 
            2,   -0.08504543, ,             2,   -0.02565919, ,             2,    0.02947987, ,           2.4,    0.08145654, ,             2,    -0.1349716, ,             2,    -0.1851213, ,             2,     -0.235944, ,             2,    -0.2874505, ,             2,    -0.3393144, , 
