xflr5 v6.61

Plane name :        TaperPlane0.6
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.045598   0.000062   0.007548   0.007610  -0.000000   0.000000  -0.109139  -0.000000   0.000000   50.0000    -1.5248
   -4.500     0.000  -0.000000   0.000015   0.007183   0.007198  -0.000000   0.000000  -0.123005   0.000000  -0.000000   50.0000  -251918.8101
   -4.000     0.000   0.045605   0.000074   0.006780   0.006853  -0.000000   0.000000  -0.136883   0.000000   0.000000   50.0000     1.9088
   -3.500     0.000   0.091213   0.000239   0.006330   0.006569  -0.000000   0.000000  -0.150767   0.000000   0.000000   50.0000     1.0503
   -3.000     0.000   0.136816   0.000510   0.006037   0.006547  -0.000000   0.000000  -0.164652   0.000000   0.000000   50.0000     0.7641
   -2.500     0.000   0.182409   0.000888   0.005817   0.006705  -0.000000   0.000000  -0.178534   0.000000   0.000000   50.0000     0.6210
   -2.000     0.000   0.227985   0.001373   0.005716   0.007089  -0.000000   0.000000  -0.192410  -0.000000   0.000000   50.0000     0.5352
   -1.500     0.000   0.273538   0.001963   0.005758   0.007721  -0.000000   0.000000  -0.206275  -0.000000   0.000000   50.0000     0.4779
   -1.000     0.000   0.319062   0.002660   0.005832   0.008491  -0.000000   0.000000  -0.220128  -0.000000   0.000000   50.0000     0.4370
   -0.500     0.000   0.364550   0.003462   0.005924   0.009386  -0.000000   0.000000  -0.233965  -0.000000   0.000000   50.0000     0.4064
    0.000     0.000   0.409997   0.004369   0.006015   0.010385  -0.000000   0.000000  -0.247782  -0.000000   0.000000   50.0000     0.3825
    0.500     0.000   0.455395   0.005381   0.006111   0.011493  -0.000000   0.000000  -0.261574  -0.000000   0.000000   50.0000     0.3634
    1.000     0.000   0.500739   0.006498   0.006204   0.012702  -0.000000   0.000000  -0.275337  -0.000000   0.000000   50.0000     0.3478
    1.500     0.000   0.546023   0.007718   0.006298   0.014015  -0.000000   0.000000  -0.289067  -0.000000  -0.000000   50.0000     0.3348
    2.000     0.000   0.591240   0.009041   0.006397   0.015438  -0.000000   0.000000  -0.302760  -0.000000   0.000000   50.0000     0.3238
    2.500     0.000   0.636385   0.010466   0.006491   0.016957  -0.000000   0.000000  -0.316411  -0.000000  -0.000000   50.0000     0.3144
    3.000     0.000   0.681451   0.011992   0.006592   0.018585  -0.000000   0.000000  -0.330017  -0.000000  -0.000000   50.0000     0.3062
    3.500     0.000   0.726432   0.013619   0.006694   0.020313  -0.000000   0.000000  -0.343574  -0.000000  -0.000000   50.0000     0.2991
    4.000     0.000   0.771322   0.015345   0.006803   0.022148  -0.000000   0.000000  -0.357077  -0.000000  -0.000000   50.0000     0.2928
    4.500     0.000   0.816115   0.017169   0.006916   0.024085  -0.000000   0.000000  -0.370522  -0.000000  -0.000000   50.0000     0.2872
    5.000     0.000   0.860805   0.019090   0.007040   0.026130  -0.000000   0.000000  -0.383905  -0.000000  -0.000000   50.0000     0.2822
    5.500     0.000   0.905386   0.021107   0.007179   0.028287  -0.000000   0.000000  -0.397224  -0.000000  -0.000000   50.0000     0.2777
    6.000     0.000   0.949852   0.023218   0.007345   0.030563  -0.000000   0.000000  -0.410473  -0.000000  -0.000000   50.0000     0.2737
    6.500     0.000   0.994197   0.025423   0.007545   0.032968  -0.000000   0.000000  -0.423649  -0.000000  -0.000000   50.0000     0.2700
    7.000     0.000   1.038416   0.027719   0.007788   0.035506  -0.000000   0.000000  -0.436750  -0.000000   0.000000   50.0000     0.2666
    7.500     0.000   1.082502   0.030105   0.008070   0.038174  -0.000000   0.000000  -0.449771  -0.000000  -0.000000   50.0000     0.2636
    8.000     0.000   1.126450   0.032579   0.008389   0.040968  -0.000000   0.000000  -0.462709  -0.000000  -0.000000   50.0000     0.2608
    8.500     0.000   1.170255   0.035140   0.008742   0.043882  -0.000000   0.000000  -0.475559  -0.000000  -0.000000   50.0000     0.2582
    9.000     0.000   1.213910   0.037786   0.009113   0.046899  -0.000000   0.000000  -0.488317  -0.000000  -0.000000   50.0000     0.2558
    9.500     0.000   1.257409   0.040516   0.009513   0.050029  -0.000000   0.000000  -0.500981  -0.000000  -0.000000   50.0000     0.2536
   10.000     0.000   1.300748   0.043326   0.009954   0.053280  -0.000000   0.000000  -0.513547  -0.000000  -0.000000   50.0000     0.2515
   10.500     0.000   1.343921   0.046216   0.010423   0.056639  -0.000000   0.000000  -0.526010  -0.000000  -0.000000   50.0000     0.2496
   11.000     0.000   1.386923   0.049184   0.010929   0.060113  -0.000000   0.000000  -0.538369  -0.000000  -0.000000   50.0000     0.2479
   11.500     0.000   1.429747   0.052226   0.011522   0.063748  -0.000000   0.000000  -0.550622  -0.000000  -0.000000   50.0000     0.2462
   12.000     0.000   1.472389   0.055342   0.012201   0.067543  -0.000000   0.000000  -0.562766  -0.000000  -0.000000   50.0000     0.2447
   12.500     0.000   1.514844   0.058529   0.012923   0.071452  -0.000000   0.000000  -0.574796  -0.000000  -0.000000   50.0000     0.2432
   13.000     0.000   1.557106   0.061784   0.013703   0.075488  -0.000000   0.000000  -0.586710  -0.000000  -0.000000   50.0000     0.2418
   13.500     0.000   1.599170   0.065106   0.014634   0.079740  -0.000000   0.000000  -0.598510  -0.000000  -0.000000   50.0000     0.2406
   14.000     0.000   1.641032   0.068492   0.015882   0.084374  -0.000000   0.000000  -0.610206  -0.000000  -0.000000   50.0000     0.2394
   14.500     0.000   1.682685   0.071940   0.017972   0.089912  -0.000000   0.000000  -0.621839  -0.000000  -0.000000   50.0000     0.2382


