xflr5 v6.61

Plane name :        Plane Name
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.042785   0.000064   0.007377   0.007442  -0.000000   0.000000  -0.129952  -0.000000   0.000000   50.0000    -2.0980
   -4.500     0.000   0.001207   0.000010   0.007059   0.007068  -0.000000   0.000000  -0.123149  -0.000000   0.000000   50.0000    82.7852
   -4.000     0.000   0.045208   0.000077   0.006709   0.006786  -0.000000   0.000000  -0.116313  -0.000000   0.000000   50.0000     2.4346
   -3.500     0.000   0.089211   0.000267   0.006314   0.006581  -0.000000   0.000000  -0.109446  -0.000000  -0.000000   50.0000     1.3474
   -3.000     0.000   0.133211   0.000580   0.005984   0.006564  -0.000000  -0.000000  -0.102553  -0.000000  -0.000000   50.0000     0.9784
   -2.500     0.000   0.177201   0.001015   0.005764   0.006779   0.000000  -0.000000  -0.095638  -0.000000  -0.000000   50.0000     0.7926
   -2.000     0.000   0.221174   0.001573   0.005576   0.007149   0.000000  -0.000000  -0.088700  -0.000000  -0.000000   50.0000     0.6807
   -1.500     0.000   0.265123   0.002253   0.005463   0.007715   0.000000  -0.000000  -0.081741  -0.000000  -0.000000   50.0000     0.6059
   -1.000     0.000   0.309043   0.003055   0.005487   0.008543   0.000000  -0.000000  -0.074767  -0.000000   0.000000   50.0000     0.5525
   -0.500     0.000   0.352925   0.003979   0.005540   0.009520   0.000000  -0.000000  -0.067774  -0.000000  -0.000000   50.0000     0.5123
    0.000     0.000   0.396765   0.005025   0.005619   0.010643   0.000000  -0.000000  -0.060767  -0.000000  -0.000000   50.0000     0.4810
    0.500     0.000   0.440555   0.006191   0.005687   0.011878   0.000000  -0.000000  -0.053744  -0.000000  -0.000000   50.0000     0.4560
    1.000     0.000   0.484290   0.007477   0.005779   0.013257   0.000000  -0.000000  -0.046711  -0.000000   0.000000   50.0000     0.4356
    1.500     0.000   0.527961   0.008883   0.005854   0.014737   0.000000  -0.000000  -0.039667  -0.000000  -0.000000   50.0000     0.4185
    2.000     0.000   0.571564   0.010408   0.005940   0.016347   0.000000  -0.000000  -0.032616   0.000000   0.000000   50.0000     0.4040
    2.500     0.000   0.615091   0.012050   0.006032   0.018082   0.000000  -0.000000  -0.025559   0.000000   0.000000   50.0000     0.3917
    3.000     0.000   0.658537   0.013808   0.006113   0.019922   0.000000  -0.000000  -0.018499   0.000000   0.000000   50.0000     0.3810
    3.500     0.000   0.701894   0.015683   0.006210   0.021892   0.000000  -0.000000  -0.011438   0.000000   0.000000   50.0000     0.3716
    4.000     0.000   0.745156   0.017671   0.006308   0.023979   0.000000  -0.000000  -0.004378   0.000000   0.000000   50.0000     0.3633
    4.500     0.000   0.788318   0.019773   0.006423   0.026196   0.000000  -0.000000   0.002679   0.000000   0.000000   50.0000     0.3560
    5.000     0.000   0.831373   0.021987   0.006532   0.028519   0.000000  -0.000000   0.009731   0.000000   0.000000   50.0000     0.3494
    5.500     0.000   0.874314   0.024311   0.006659   0.030970   0.000000  -0.000000   0.016776   0.000000   0.000000   50.0000     0.3435
    6.000     0.000   0.917136   0.026743   0.006805   0.033548   0.000000  -0.000000   0.023811   0.000000   0.000000   50.0000     0.3382
    6.500     0.000   0.959832   0.029283   0.006988   0.036271   0.000000  -0.000000   0.030834   0.000000   0.000000   50.0000     0.3334
    7.000     0.000   1.002396   0.031929   0.007214   0.039143   0.000000  -0.000000   0.037844   0.000000   0.000000   50.0000     0.3290
    7.500     0.000   1.044823   0.034678   0.007472   0.042150   0.000000  -0.000000   0.044838   0.000000   0.000000   50.0000     0.3250
    8.000     0.000   1.087105   0.037529   0.007741   0.045271   0.000000  -0.000000   0.051815   0.000000   0.000000   50.0000     0.3213
    8.500     0.000   1.129238   0.040480   0.008036   0.048517   0.000000  -0.000000   0.058772   0.000000   0.000000   50.0000     0.3179
    9.000     0.000   1.171215   0.043530   0.008369   0.051898   0.000000  -0.000000   0.065707   0.000000   0.000000   50.0000     0.3148
    9.500     0.000   1.213031   0.046674   0.008709   0.055383   0.000000  -0.000000   0.072618   0.000000   0.000000   50.0000     0.3119
   10.000     0.000   1.254680   0.049913   0.009072   0.058985   0.000000  -0.000000   0.079504   0.000000   0.000000   50.0000     0.3092
   10.500     0.000   1.296156   0.053243   0.009468   0.062711   0.000000  -0.000000   0.086363   0.000000   0.000000   50.0000     0.3067
   11.000     0.000   1.337453   0.056662   0.009886   0.066548  -0.000000  -0.000000   0.093191   0.000000   0.000000   50.0000     0.3044
   11.500     0.000   1.378566   0.060168   0.010330   0.070498  -0.000000  -0.000000   0.099988   0.000000   0.000000   50.0000     0.3022
   12.000     0.000   1.419490   0.063758   0.010830   0.074588   0.000000  -0.000000   0.106752   0.000000   0.000000   50.0000     0.3002
   12.500     0.000   1.460219   0.067430   0.011403   0.078833  -0.000000  -0.000000   0.113481   0.000000   0.000000   50.0000     0.2983
   13.000     0.000   1.500747   0.071182   0.012027   0.083209  -0.000000  -0.000000   0.120172   0.000000   0.000000   50.0000     0.2965
   13.500     0.000   1.541070   0.075009   0.012675   0.087684  -0.000000  -0.000000   0.126825   0.000000   0.000000   50.0000     0.2949
   14.000     0.000   1.581182   0.078911   0.013359   0.092270  -0.000000  -0.000000   0.133437   0.000000   0.000000   50.0000     0.2933
   14.500     0.000   1.621078   0.082884   0.014131   0.097015  -0.000000  -0.000000   0.140007   0.000000   0.000000   50.0000     0.2919
   15.000     0.000   1.660754   0.086925   0.015064   0.101989  -0.000000  -0.000000   0.146535   0.000000   0.000000   50.0000     0.2905


