xflr5 v6.61

Plane name :        Twist -1.5
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.095834   0.000361   0.007801   0.008162  -0.000000  -0.000000  -0.098234  -0.000000   0.000000   50.0000    -0.7997
   -4.500     0.000  -0.053299   0.000146   0.007475   0.007621  -0.000000  -0.000000  -0.108681  -0.000000   0.000000   50.0000    -1.5894
   -4.000     0.000  -0.010748   0.000050   0.007161   0.007211  -0.000000  -0.000000  -0.119136  -0.000000   0.000000   50.0000    -8.6321
   -3.500     0.000   0.031813   0.000072   0.006828   0.006899  -0.000000  -0.000000  -0.129596  -0.000000  -0.000000   50.0000     3.1697
   -3.000     0.000   0.074377   0.000212   0.006458   0.006670   0.000000   0.000000  -0.140057   0.000000  -0.000000   50.0000     1.4640
   -2.500     0.000   0.116938   0.000471   0.006123   0.006594   0.000000   0.000000  -0.150517   0.000000  -0.000000   50.0000     0.9999
   -2.000     0.000   0.159489   0.000849   0.005866   0.006715   0.000000   0.000000  -0.160971   0.000000  -0.000000   50.0000     0.7835
   -1.500     0.000   0.202026   0.001345   0.005671   0.007016   0.000000   0.000000  -0.171416   0.000000  -0.000000   50.0000     0.6583
   -1.000     0.000   0.244540   0.001959   0.005569   0.007528   0.000000   0.000000  -0.181851   0.000000  -0.000000   50.0000     0.5766
   -0.500     0.000   0.287026   0.002692   0.005550   0.008242   0.000000   0.000000  -0.192272   0.000000  -0.000000   50.0000     0.5191
    0.000     0.000   0.329477   0.003543   0.005579   0.009122   0.000000   0.000000  -0.202676  -0.000000  -0.000000   50.0000     0.4765
    0.500     0.000   0.371887   0.004511   0.005630   0.010141   0.000000   0.000000  -0.213062  -0.000000  -0.000000   50.0000     0.4436
    1.000     0.000   0.414250   0.005595   0.005696   0.011291   0.000000   0.000000  -0.223425  -0.000000  -0.000000   50.0000     0.4175
    1.500     0.000   0.456560   0.006796   0.005768   0.012564   0.000000   0.000000  -0.233763  -0.000000  -0.000000   50.0000     0.3962
    2.000     0.000   0.498809   0.008113   0.005840   0.013953   0.000000   0.000000  -0.244073  -0.000000  -0.000000   50.0000     0.3786
    2.500     0.000   0.540993   0.009544   0.005920   0.015464   0.000000   0.000000  -0.254351  -0.000000  -0.000000   50.0000     0.3637
    3.000     0.000   0.583104   0.011089   0.006001   0.017090   0.000000   0.000000  -0.264594  -0.000000  -0.000000   50.0000     0.3510
    3.500     0.000   0.625137   0.012747   0.006085   0.018832   0.000000   0.000000  -0.274799  -0.000000  -0.000000   50.0000     0.3400
    4.000     0.000   0.667085   0.014516   0.006172   0.020688   0.000000   0.000000  -0.284964  -0.000000  -0.000000   50.0000     0.3305
    4.500     0.000   0.708943   0.016396   0.006269   0.022665   0.000000   0.000000  -0.295085  -0.000000  -0.000000   50.0000     0.3220
    5.000     0.000   0.750703   0.018386   0.006371   0.024757   0.000000   0.000000  -0.305158  -0.000000  -0.000000   50.0000     0.3146
    5.500     0.000   0.792361   0.020484   0.006484   0.026968   0.000000   0.000000  -0.315183  -0.000000  -0.000000   50.0000     0.3079
    6.000     0.000   0.833910   0.022688   0.006608   0.029297   0.000000   0.000000  -0.325154  -0.000000  -0.000000   50.0000     0.3019
    6.500     0.000   0.875343   0.024998   0.006756   0.031754   0.000000   0.000000  -0.335070  -0.000000  -0.000000   50.0000     0.2965
    7.000     0.000   0.916656   0.027412   0.006936   0.034348   0.000000   0.000000  -0.344927  -0.000000  -0.000000   50.0000     0.2916
    7.500     0.000   0.957842   0.029927   0.007145   0.037072   0.000000   0.000000  -0.354724  -0.000000  -0.000000   50.0000     0.2872
    8.000     0.000   0.998895   0.032543   0.007380   0.039923   0.000000   0.000000  -0.364457  -0.000000  -0.000000   50.0000     0.2831
    8.500     0.000   1.039810   0.035257   0.007644   0.042901   0.000000   0.000000  -0.374124  -0.000000  -0.000000   50.0000     0.2794
    9.000     0.000   1.080581   0.038068   0.007928   0.045996   0.000000   0.000000  -0.383721  -0.000000  -0.000000   50.0000     0.2760
    9.500     0.000   1.121202   0.040974   0.008232   0.049205   0.000000   0.000000  -0.393246  -0.000000  -0.000000   50.0000     0.2728
   10.000     0.000   1.161668   0.043972   0.008561   0.052532   0.000000   0.000000  -0.402696  -0.000000  -0.000000   50.0000     0.2699
   10.500     0.000   1.201972   0.047061   0.008912   0.055973   0.000000   0.000000  -0.412068  -0.000000  -0.000000   50.0000     0.2672
   11.000     0.000   1.242110   0.050238   0.009291   0.059529   0.000000   0.000000  -0.421360  -0.000000  -0.000000   50.0000     0.2646
   11.500     0.000   1.282076   0.053502   0.009712   0.063214   0.000000   0.000000  -0.430569  -0.000000  -0.000000   50.0000     0.2623
   12.000     0.000   1.321865   0.056849   0.010185   0.067034   0.000000   0.000000  -0.439695  -0.000000  -0.000000   50.0000     0.2601
   12.500     0.000   1.361471   0.060278   0.010703   0.070981   0.000000   0.000000  -0.448733  -0.000000  -0.000000   50.0000     0.2580
   13.000     0.000   1.400889   0.063786   0.011254   0.075039   0.000000   0.000000  -0.457682  -0.000000   0.000000   50.0000     0.2561
   13.500     0.000   1.440115   0.067370   0.011858   0.079228   0.000000   0.000000  -0.466539  -0.000000  -0.000000   50.0000     0.2543
   14.000     0.000   1.479142   0.071029   0.012546   0.083575   0.000000   0.000000  -0.475304  -0.000000  -0.000000   50.0000     0.2526
   14.500     0.000   1.517965   0.074759   0.013423   0.088182   0.000000   0.000000  -0.483982  -0.000000  -0.000000   50.0000     0.2511
   15.000     0.000   1.556581   0.078557   0.014775   0.093332   0.000000   0.000000  -0.492589  -0.000000  -0.000000   50.0000     0.2496


