xflr5 v6.61

Plane name :        Twist -2
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.114951   0.000545   0.007958   0.008503  -0.000000  -0.000000  -0.093649  -0.000000   0.000000   50.0000    -0.6359
   -4.500     0.000  -0.072429   0.000269   0.007619   0.007889  -0.000000  -0.000000  -0.104096  -0.000000   0.000000   50.0000    -1.1207
   -4.000     0.000  -0.029888   0.000112   0.007303   0.007415  -0.000000  -0.000000  -0.114550  -0.000000   0.000000   50.0000    -2.9855
   -3.500     0.000   0.012664   0.000072   0.006979   0.007052  -0.000000  -0.000000  -0.125010  -0.000000  -0.000000   50.0000     7.6823
   -3.000     0.000   0.055223   0.000151   0.006622   0.006773   0.000000   0.000000  -0.135473   0.000000  -0.000000   50.0000     1.9076
   -2.500     0.000   0.097781   0.000349   0.006275   0.006624   0.000000   0.000000  -0.145935   0.000000  -0.000000   50.0000     1.1596
   -2.000     0.000   0.140333   0.000666   0.005985   0.006651   0.000000   0.000000  -0.156391   0.000000  -0.000000   50.0000     0.8652
   -1.500     0.000   0.182871   0.001100   0.005759   0.006860   0.000000   0.000000  -0.166840   0.000000  -0.000000   50.0000     0.7078
   -1.000     0.000   0.225390   0.001654   0.005621   0.007274   0.000000   0.000000  -0.177279   0.000000  -0.000000   50.0000     0.6099
   -0.500     0.000   0.267883   0.002325   0.005568   0.007893   0.000000   0.000000  -0.187704   0.000000  -0.000000   50.0000     0.5430
    0.000     0.000   0.310344   0.003115   0.005573   0.008688   0.000000   0.000000  -0.198114   0.000000  -0.000000   50.0000     0.4945
    0.500     0.000   0.352767   0.004022   0.005612   0.009634   0.000000   0.000000  -0.208505  -0.000000  -0.000000   50.0000     0.4576
    1.000     0.000   0.395145   0.005046   0.005670   0.010716   0.000000   0.000000  -0.218874  -0.000000  -0.000000   50.0000     0.4287
    1.500     0.000   0.437471   0.006186   0.005737   0.011923   0.000000   0.000000  -0.229219  -0.000000  -0.000000   50.0000     0.4054
    2.000     0.000   0.479741   0.007442   0.005809   0.013251   0.000000   0.000000  -0.239536  -0.000000  -0.000000   50.0000     0.3863
    2.500     0.000   0.521947   0.008814   0.005886   0.014699   0.000000   0.000000  -0.249822  -0.000000  -0.000000   50.0000     0.3702
    3.000     0.000   0.564083   0.010299   0.005965   0.016264   0.000000   0.000000  -0.260074  -0.000000  -0.000000   50.0000     0.3566
    3.500     0.000   0.606143   0.011897   0.006049   0.017946   0.000000   0.000000  -0.270289  -0.000000  -0.000000   50.0000     0.3449
    4.000     0.000   0.648121   0.013608   0.006133   0.019741   0.000000   0.000000  -0.280463  -0.000000  -0.000000   50.0000     0.3347
    4.500     0.000   0.690011   0.015430   0.006227   0.021656   0.000000   0.000000  -0.290595  -0.000000  -0.000000   50.0000     0.3258
    5.000     0.000   0.731806   0.017361   0.006326   0.023687   0.000000   0.000000  -0.300680  -0.000000  -0.000000   50.0000     0.3179
    5.500     0.000   0.773500   0.019401   0.006436   0.025837   0.000000   0.000000  -0.310716  -0.000000  -0.000000   50.0000     0.3109
    6.000     0.000   0.815089   0.021548   0.006554   0.028102   0.000000   0.000000  -0.320699  -0.000000  -0.000000   50.0000     0.3046
    6.500     0.000   0.856564   0.023802   0.006693   0.030495   0.000000   0.000000  -0.330628  -0.000000  -0.000000   50.0000     0.2990
    7.000     0.000   0.897921   0.026159   0.006862   0.033021   0.000000   0.000000  -0.340499  -0.000000  -0.000000   50.0000     0.2939
    7.500     0.000   0.939154   0.028619   0.007059   0.035678   0.000000   0.000000  -0.350310  -0.000000  -0.000000   50.0000     0.2892
    8.000     0.000   0.980257   0.031180   0.007283   0.038462   0.000000   0.000000  -0.360058  -0.000000  -0.000000   50.0000     0.2850
    8.500     0.000   1.021223   0.033840   0.007534   0.041374   0.000000   0.000000  -0.369740  -0.000000  -0.000000   50.0000     0.2811
    9.000     0.000   1.062048   0.036597   0.007809   0.044406   0.000000   0.000000  -0.379353  -0.000000  -0.000000   50.0000     0.2775
    9.500     0.000   1.102725   0.039450   0.008103   0.047552   0.000000   0.000000  -0.388894  -0.000000  -0.000000   50.0000     0.2743
   10.000     0.000   1.143249   0.042396   0.008420   0.050816   0.000000   0.000000  -0.398360  -0.000000  -0.000000   50.0000     0.2712
   10.500     0.000   1.183614   0.045433   0.008762   0.054195   0.000000   0.000000  -0.407750  -0.000000  -0.000000   50.0000     0.2684
   11.000     0.000   1.223815   0.048560   0.009127   0.057687   0.000000   0.000000  -0.417060  -0.000000  -0.000000   50.0000     0.2658
   11.500     0.000   1.263846   0.051773   0.009531   0.061304   0.000000   0.000000  -0.426287  -0.000000  -0.000000   50.0000     0.2634
   12.000     0.000   1.303702   0.055072   0.009984   0.065055   0.000000   0.000000  -0.435431  -0.000000  -0.000000   50.0000     0.2611
   12.500     0.000   1.343377   0.058452   0.010483   0.068936   0.000000   0.000000  -0.444489  -0.000000  -0.000000   50.0000     0.2590
