xflr5 v6.61

Plane name :        Twist 0
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.038441   0.000076   0.007366   0.007442   0.000000  -0.000000  -0.111951  -0.000000   0.000000   50.0000    -2.2698
   -4.500     0.000   0.004123   0.000045   0.007051   0.007096   0.000000  -0.000000  -0.122399  -0.000000  -0.000000   50.0000    23.1212
   -4.000     0.000   0.046695   0.000132   0.006712   0.006844   0.000000   0.000000  -0.132853   0.000000   0.000000   50.0000     2.2141
   -3.500     0.000   0.089269   0.000337   0.006312   0.006649   0.000000   0.000000  -0.143310   0.000000   0.000000   50.0000     1.2484
   -3.000     0.000   0.131839   0.000661   0.006000   0.006661   0.000000   0.000000  -0.153766   0.000000   0.000000   50.0000     0.9063
   -2.500     0.000   0.174398   0.001104   0.005784   0.006888   0.000000   0.000000  -0.164217   0.000000  -0.000000   50.0000     0.7312
   -2.000     0.000   0.216941   0.001665   0.005586   0.007251   0.000000   0.000000  -0.174661   0.000000  -0.000000   50.0000     0.6248
   -1.500     0.000   0.259460   0.002345   0.005507   0.007852   0.000000   0.000000  -0.185095   0.000000   0.000000   50.0000     0.5533
   -1.000     0.000   0.301950   0.003143   0.005528   0.008671   0.000000   0.000000  -0.195517   0.000000  -0.000000   50.0000     0.5020
   -0.500     0.000   0.344404   0.004059   0.005578   0.009637   0.000000   0.000000  -0.205923  -0.000000   0.000000   50.0000     0.4633
    0.000     0.000   0.386815   0.005092   0.005641   0.010733   0.000000   0.000000  -0.216312  -0.000000  -0.000000   50.0000     0.4332
    0.500     0.000   0.429178   0.006242   0.005713   0.011954   0.000000   0.000000  -0.226679  -0.000000   0.000000   50.0000     0.4090
    1.000     0.000   0.471487   0.007508   0.005786   0.013294   0.000000   0.000000  -0.237022  -0.000000  -0.000000   50.0000     0.3892
    1.500     0.000   0.513734   0.008889   0.005864   0.014754   0.000000   0.000000  -0.247338  -0.000000   0.000000   50.0000     0.3726
    2.000     0.000   0.555914   0.010385   0.005942   0.016328   0.000000   0.000000  -0.257624  -0.000000  -0.000000   50.0000     0.3586
    2.500     0.000   0.598021   0.011995   0.006028   0.018023   0.000000   0.000000  -0.267876  -0.000000  -0.000000   50.0000     0.3466
    3.000     0.000   0.640047   0.013718   0.006115   0.019833   0.000000   0.000000  -0.278092  -0.000000  -0.000000   50.0000     0.3362
    3.500     0.000   0.681988   0.015553   0.006198   0.021751   0.000000   0.000000  -0.288267  -0.000000  -0.000000   50.0000     0.3270
    4.000     0.000   0.723837   0.017498   0.006297   0.023795   0.000000   0.000000  -0.298400  -0.000000   0.000000   50.0000     0.3190
    4.500     0.000   0.765588   0.019552   0.006402   0.025954   0.000000   0.000000  -0.308488  -0.000000  -0.000000   50.0000     0.3119
    5.000     0.000   0.807234   0.021714   0.006517   0.028231   0.000000   0.000000  -0.318526  -0.000000   0.000000   50.0000     0.3055
    5.500     0.000   0.848771   0.023983   0.006641   0.030625   0.000000   0.000000  -0.328513  -0.000000  -0.000000   50.0000     0.2997
    6.000     0.000   0.890191   0.026358   0.006790   0.033148   0.000000   0.000000  -0.338446  -0.000000  -0.000000   50.0000     0.2945
    6.500     0.000   0.931489   0.028835   0.006975   0.035810   0.000000   0.000000  -0.348322  -0.000000   0.000000   50.0000     0.2898
    7.000     0.000   0.972659   0.031415   0.007193   0.038608   0.000000   0.000000  -0.358138  -0.000000   0.000000   50.0000     0.2855
    7.500     0.000   1.013695   0.034095   0.007436   0.041531   0.000000   0.000000  -0.367891  -0.000000   0.000000   50.0000     0.2816
    8.000     0.000   1.054591   0.036873   0.007708   0.044581   0.000000   0.000000  -0.377579  -0.000000   0.000000   50.0000     0.2780
    8.500     0.000   1.095342   0.039748   0.008005   0.047753   0.000000   0.000000  -0.387199  -0.000000  -0.000000   50.0000     0.2746
    9.000     0.000   1.135942   0.042717   0.008317   0.051033   0.000000   0.000000  -0.396748  -0.000000  -0.000000   50.0000     0.2716
    9.500     0.000   1.176386   0.045779   0.008653   0.054431   0.000000   0.000000  -0.406222  -0.000000  -0.000000   50.0000     0.2687
   10.000     0.000   1.216667   0.048931   0.009014   0.057944   0.000000   0.000000  -0.415620  -0.000000   0.000000   50.0000     0.2661
   10.500     0.000   1.256780   0.052171   0.009400   0.061572   0.000000   0.000000  -0.424939  -0.000000  -0.000000   50.0000     0.2636
   11.000     0.000   1.296720   0.055498   0.009827   0.065325   0.000000   0.000000  -0.434176  -0.000000  -0.000000   50.0000     0.2613
   11.500     0.000   1.336482   0.058908   0.010309   0.069217   0.000000   0.000000  -0.443330  -0.000000  -0.000000   50.0000     0.2592
   12.000     0.000   1.376060   0.062399   0.010845   0.073245   0.000000   0.000000  -0.452399  -0.000000  -0.000000   50.0000     0.2572
   12.500     0.000   1.415448   0.065970   0.011416   0.077386   0.000000   0.000000  -0.461379  -0.000000  -0.000000   50.0000     0.2553
   13.000     0.000   1.454643   0.069616   0.012027   0.081643   0.000000   0.000000  -0.470268  -0.000000   0.000000   50.0000     0.2536
   13.500     0.000   1.493638   0.073337   0.012717   0.086054   0.000000   0.000000  -0.479066  -0.000000  -0.000000   50.0000     0.2519
   14.000     0.000   1.532429   0.077128   0.013586   0.090714   0.000000   0.000000  -0.487776  -0.000000   0.000000   50.0000     0.2504
   14.500     0.000   1.571010   0.080988   0.014841   0.095829   0.000000   0.000000  -0.496410  -0.000000  -0.000000   50.0000     0.2489


