xflr5 v6.61

Plane name :        Twist 1.5
Polar name :        T1-50.0 m/s-VLM2
Freestream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.018995   0.000192   0.006927   0.007119   0.000000  -0.000000  -0.125610   0.000000   0.000000   50.0000     5.1498
   -4.500     0.000   0.061572   0.000343   0.006569   0.006912  -0.000000   0.000000  -0.136057   0.000000   0.000000   50.0000     1.7198
   -4.000     0.000   0.104149   0.000614   0.006202   0.006816  -0.000000   0.000000  -0.146508   0.000000   0.000000   50.0000     1.0941
   -3.500     0.000   0.146722   0.001003   0.005924   0.006927  -0.000000   0.000000  -0.156958   0.000000   0.000000   50.0000     0.8315
   -3.000     0.000   0.189282   0.001510   0.005706   0.007217  -0.000000   0.000000  -0.167404   0.000000   0.000000   50.0000     0.6870
   -2.500     0.000   0.231824   0.002137   0.005534   0.007671  -0.000000   0.000000  -0.177845   0.000000   0.000000   50.0000     0.5956
   -2.000     0.000   0.274342   0.002881   0.005490   0.008371  -0.000000   0.000000  -0.188277   0.000000   0.000000   50.0000     0.5325
   -1.500     0.000   0.316829   0.003744   0.005530   0.009274  -0.000000   0.000000  -0.198697  -0.000000   0.000000   50.0000     0.4864
   -1.000     0.000   0.359279   0.004724   0.005590   0.010314  -0.000000   0.000000  -0.209104  -0.000000   0.000000   50.0000     0.4512
   -0.500     0.000   0.401685   0.005822   0.005659   0.011480  -0.000000   0.000000  -0.219494  -0.000000   0.000000   50.0000     0.4234
    0.000     0.000   0.444042   0.007036   0.005733   0.012770  -0.000000   0.000000  -0.229864  -0.000000   0.000000   50.0000     0.4010
    0.500     0.000   0.486343   0.008367   0.005808   0.014174  -0.000000   0.000000  -0.240211  -0.000000   0.000000   50.0000     0.3825
    1.000     0.000   0.528581   0.009812   0.005889   0.015702  -0.000000   0.000000  -0.250532  -0.000000   0.000000   50.0000     0.3669
    1.500     0.000   0.570751   0.011373   0.005966   0.017339  -0.000000   0.000000  -0.260824  -0.000000   0.000000   50.0000     0.3537
    2.000     0.000   0.612846   0.013047   0.006055   0.019102  -0.000000   0.000000  -0.271083  -0.000000   0.000000   50.0000     0.3423
    2.500     0.000   0.654860   0.014834   0.006144   0.020978  -0.000000   0.000000  -0.281307  -0.000000   0.000000   50.0000     0.3324
    3.000     0.000   0.696787   0.016732   0.006225   0.022957  -0.000000   0.000000  -0.291492  -0.000000   0.000000   50.0000     0.3237
    3.500     0.000   0.738621   0.018741   0.006327   0.025068  -0.000000   0.000000  -0.301636  -0.000000   0.000000   50.0000     0.3160
    4.000     0.000   0.780356   0.020859   0.006436   0.027294  -0.000000   0.000000  -0.311736  -0.000000   0.000000   50.0000     0.3092
    4.500     0.000   0.821985   0.023085   0.006552   0.029637  -0.000000   0.000000  -0.321787  -0.000000   0.000000   50.0000     0.3031
    5.000     0.000   0.863502   0.025417   0.006677   0.032093  -0.000000   0.000000  -0.331789  -0.000000   0.000000   50.0000     0.2975
    5.500     0.000   0.904903   0.027854   0.006829   0.034683  -0.000000   0.000000  -0.341737  -0.000000   0.000000   50.0000     0.2925
    6.000     0.000   0.946179   0.030395   0.007020   0.037415  -0.000000   0.000000  -0.351629  -0.000000   0.000000   50.0000     0.2880
    6.500     0.000   0.987327   0.033037   0.007248   0.040286  -0.000000   0.000000  -0.361463  -0.000000   0.000000   50.0000     0.2838
    7.000     0.000   1.028340   0.035780   0.007501   0.043281  -0.000000   0.000000  -0.371235  -0.000000   0.000000   50.0000     0.2800
    7.500     0.000   1.069212   0.038620   0.007782   0.046402  -0.000000   0.000000  -0.380943  -0.000000   0.000000   50.0000     0.2765
    8.000     0.000   1.109937   0.041557   0.008092   0.049649  -0.000000   0.000000  -0.390584  -0.000000   0.000000   50.0000     0.2733
    8.500     0.000   1.150510   0.044588   0.008411   0.052999  -0.000000   0.000000  -0.400155  -0.000000   0.000000   50.0000     0.2703
    9.000     0.000   1.190925   0.047712   0.008752   0.056464  -0.000000   0.000000  -0.409652  -0.000000   0.000000   50.0000     0.2676
    9.500     0.000   1.231177   0.050926   0.009125   0.060051  -0.000000   0.000000  -0.419075  -0.000000   0.000000   50.0000     0.2650
   10.000     0.000   1.271259   0.054227   0.009521   0.063748  -0.000000   0.000000  -0.428419  -0.000000   0.000000   50.0000     0.2626
   10.500     0.000   1.311168   0.057615   0.009951   0.067566  -0.000000   0.000000  -0.437683  -0.000000   0.000000   50.0000     0.2604
   11.000     0.000   1.350897   0.061086   0.010448   0.071533  -0.000000   0.000000  -0.446865  -0.000000   0.000000   50.0000     0.2583
   11.500     0.000   1.390440   0.064638   0.011004   0.075642  -0.000000   0.000000  -0.455963  -0.000000   0.000000   50.0000     0.2564
   12.000     0.000   1.429794   0.068269   0.011595   0.079864  -0.000000   0.000000  -0.464973  -0.000000   0.000000   50.0000     0.2545
   12.500     0.000   1.468952   0.071975   0.012214   0.084189  -0.000000   0.000000  -0.473893  -0.000000   0.000000   50.0000     0.2528
   13.000     0.000   1.507909   0.075756   0.012919   0.088674  -0.000000   0.000000  -0.482722  -0.000000   0.000000   50.0000     0.2512
   13.500     0.000   1.546661   0.079607   0.013783   0.093390  -0.000000   0.000000  -0.491464  -0.000000   0.000000   50.0000     0.2497
   14.000     0.000   1.585203   0.083526   0.015021   0.098547  -0.000000   0.000000  -0.500129  -0.000000   0.000000   50.0000     0.2483
   14.500     0.000   1.623529   0.087511   0.017488   0.104999  -0.000000   0.000000  -0.508771  -0.000000   0.000000   50.0000     0.2469


