Alpha,T1-50.0 m/s-VLM1+Drag, , 
            0,     0.1099942, , 
          0.2,     0.1103946, , 
          0.4,     0.1108253, , 
          0.6,     0.1112785, , 
          0.8,      0.111751, , 
            1,     0.1122489, , 
          1.2,     0.1127719, , 
          1.4,     0.1133182, , 
          1.6,     0.1138849, , 
          1.8,     0.1144704, , 
            2,     0.1150802, , 
          2.2,     0.1157139, , 
          2.4,     0.1163685, , 
          2.6,      0.117043, , 
          2.8,     0.1177416, , 
            3,     0.1184649, , 
          3.2,     0.1192082, , 
          3.4,     0.1199707, , 
          3.6,     0.1207548, , 
          3.8,     0.1215644, , 
            4,     0.1223979, , 
          4.2,     0.1232507, , 
          4.4,     0.1241256, , 
          4.6,      0.125025, , 
          4.8,     0.1259462, , 
            5,     0.1268866, , 

