Alpha,T1-50.0 m/s-VLM1+Drag, , 
            0,     0.3356972, , 
          0.2,     0.3552957, , 
          0.4,      0.374887, , 
          0.6,     0.3944705, , 
          0.8,     0.4140458, , 
            1,     0.4336124, , 
          1.2,     0.4531697, , 
          1.4,     0.4727175, , 
          1.6,     0.4922551, , 
          1.8,     0.5117821, , 
            2,     0.5312981, , 
          2.2,     0.5508025, , 
          2.4,      0.570295, , 
          2.6,      0.589775, , 
          2.8,     0.6092421, , 
            3,     0.6286958, , 
          3.2,     0.6481356, , 
          3.4,     0.6675611, , 
          3.6,     0.6869719, , 
          3.8,     0.7063674, , 
            4,     0.7257471, , 
          4.2,     0.7451108, , 
          4.4,     0.7644578, , 
          4.6,     0.7837878, , 
          4.8,     0.8031002, , 
            5,     0.8223946, , 

