xflr5 v6.61

Plane name :, Taper 0.35 k3.5 2412 0Iw 0It
Polar name :, T1-50.0 m/s-VLM1
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.215470,   0.001689,   0.010137,   0.011826,   0.000000,  -0.000000,   0.051715,  -0.000000,  -0.000000,   50.0000,    0.2987
   -5.000,     0.000,  -0.165401,   0.001086,   0.009734,   0.010820,   0.000000,  -0.000000,   0.035168,  -0.000000,  -0.000000,   50.0000,    0.2749
   -4.500,     0.000,  -0.115298,   0.000630,   0.009358,   0.009987,   0.000000,  -0.000000,   0.018578,  -0.000000,  -0.000000,   50.0000,    0.2304
   -4.000,     0.000,  -0.065168,   0.000321,   0.009007,   0.009328,   0.000000,  -0.000000,   0.001952,  -0.000000,  -0.000000,   50.0000,    0.1177
   -3.500,     0.000,  -0.015020,   0.000160,   0.008648,   0.008808,   0.000000,  -0.000000,  -0.014706,  -0.000000,  -0.000000,   50.0000,   -0.7478
   -3.000,     0.000,   0.035139,   0.000146,   0.008265,   0.008412,   0.000000,  -0.000000,  -0.031391,  -0.000000,  -0.000000,   50.0000,    0.8575
   -2.500,     0.000,   0.085301,   0.000281,   0.007860,   0.008141,   0.000000,  -0.000000,  -0.048098,  -0.000000,  -0.000000,   50.0000,    0.5748
   -2.000,     0.000,   0.135459,   0.000564,   0.007551,   0.008115,   0.000000,  -0.000000,  -0.064822,  -0.000000,  -0.000000,   50.0000,    0.5014
   -1.500,     0.000,   0.185604,   0.000996,   0.007306,   0.008302,   0.000000,  -0.000000,  -0.081559,  -0.000000,  -0.000000,   50.0000,    0.4677
   -1.000,     0.000,   0.235730,   0.001576,   0.007117,   0.008693,   0.000000,  -0.000000,  -0.098302,  -0.000000,  -0.000000,   50.0000,    0.4484
   -0.500,     0.000,   0.285828,   0.002303,   0.007050,   0.009353,   0.000000,  -0.000000,  -0.115047,  -0.000000,  -0.000000,   50.0000,    0.4358
    0.000,     0.000,   0.335890,   0.003178,   0.007078,   0.010256,   0.000000,  -0.000000,  -0.131789,   0.000000,  -0.000000,   50.0000,    0.4270
    0.500,     0.000,   0.385910,   0.004201,   0.007129,   0.011330,   0.000000,  -0.000000,  -0.148523,   0.000000,  -0.000000,   50.0000,    0.4205
    1.000,     0.000,   0.435879,   0.005369,   0.007186,   0.012555,   0.000000,  -0.000000,  -0.165244,   0.000000,  -0.000000,   50.0000,    0.4155
    1.500,     0.000,   0.485790,   0.006684,   0.007257,   0.013941,   0.000000,  -0.000000,  -0.181946,   0.000000,   0.000000,   50.0000,    0.4116
    2.000,     0.000,   0.535635,   0.008144,   0.007321,   0.015465,  -0.000000,   0.000000,  -0.198624,   0.000000,   0.000000,   50.0000,    0.4084
    2.500,     0.000,   0.585406,   0.009747,   0.007391,   0.017138,  -0.000000,   0.000000,  -0.215274,   0.000000,   0.000000,   50.0000,    0.4058
    3.000,     0.000,   0.635097,   0.011494,   0.007464,   0.018958,  -0.000000,   0.000000,  -0.231890,   0.000000,  -0.000000,   50.0000,    0.4036
    3.500,     0.000,   0.684698,   0.013383,   0.007533,   0.020916,  -0.000000,   0.000000,  -0.248467,   0.000000,   0.000000,   50.0000,    0.4018
    4.000,     0.000,   0.734204,   0.015412,   0.007611,   0.023023,  -0.000000,   0.000000,  -0.265000,   0.000000,   0.000000,   50.0000,    0.4002
    4.500,     0.000,   0.783606,   0.017580,   0.007692,   0.025272,  -0.000000,   0.000000,  -0.281484,   0.000000,   0.000000,   50.0000,    0.3988
    5.000,     0.000,   0.832897,   0.019887,   0.007782,   0.027669,  -0.000000,   0.000000,  -0.297914,   0.000000,   0.000000,   50.0000,    0.3977
    5.500,     0.000,   0.882070,   0.022330,   0.007879,   0.030208,  -0.000000,   0.000000,  -0.314286,   0.000000,   0.000000,   50.0000,    0.3967
    6.000,     0.000,   0.931117,   0.024907,   0.007995,   0.032902,  -0.000000,   0.000000,  -0.330594,   0.000000,   0.000000,   50.0000,    0.3958
    6.500,     0.000,   0.980032,   0.027617,   0.008126,   0.035743,  -0.000000,   0.000000,  -0.346835,   0.000000,   0.000000,   50.0000,    0.3950
    7.000,     0.000,   1.028805,   0.030459,   0.008291,   0.038750,  -0.000000,   0.000000,  -0.363003,   0.000000,   0.000000,   50.0000,    0.3944
    7.500,     0.000,   1.077432,   0.033429,   0.008495,   0.041924,  -0.000000,   0.000000,  -0.379093,   0.000000,   0.000000,   50.0000,    0.3938
    8.000,     0.000,   1.125904,   0.036526,   0.008735,   0.045261,  -0.000000,   0.000000,  -0.395100,   0.000000,   0.000000,   50.0000,    0.3933
    8.500,     0.000,   1.174215,   0.039748,   0.009003,   0.048751,  -0.000000,   0.000000,  -0.411021,   0.000000,  -0.000000,   50.0000,    0.3928
    9.000,     0.000,   1.222357,   0.043092,   0.009300,   0.052392,  -0.000000,   0.000000,  -0.426849,   0.000000,   0.000000,   50.0000,    0.3925
    9.500,     0.000,   1.270323,   0.046556,   0.009624,   0.056180,  -0.000000,   0.000000,  -0.442582,   0.000000,   0.000000,   50.0000,    0.3921
   10.000,     0.000,   1.318107,   0.050138,   0.009969,   0.060107,  -0.000000,   0.000000,  -0.458215,   0.000000,   0.000000,   50.0000,    0.3919


