xflr5 v6.61

Plane name :, Taper 0.35 k3.5 2412 0Iw 0It
Polar name :, T1-50.0 m/s-VLM1
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.204294,   0.001445,   0.009804,   0.011248,   0.000000,  -0.000000,   0.019108,  -0.000000,  -0.000000,   50.0000,    0.1762
   -5.000,     0.000,  -0.155250,   0.000907,   0.009403,   0.010310,   0.000000,  -0.000000,   0.005926,  -0.000000,  -0.000000,   50.0000,    0.1291
   -4.500,     0.000,  -0.106175,   0.000509,   0.009029,   0.009538,   0.000000,  -0.000000,  -0.007289,  -0.000000,  -0.000000,   50.0000,    0.0384
   -4.000,     0.000,  -0.057076,   0.000250,   0.008679,   0.008929,   0.000000,  -0.000000,  -0.020532,  -0.000000,  -0.000000,   50.0000,   -0.2082
   -3.500,     0.000,  -0.007960,   0.000132,   0.008319,   0.008452,   0.000000,  -0.000000,  -0.033800,  -0.000000,  -0.000000,   50.0000,   -3.4979
   -3.000,     0.000,   0.041166,   0.000154,   0.007937,   0.008091,   0.000000,  -0.000000,  -0.047088,  -0.000000,  -0.000000,   50.0000,    1.0640
   -2.500,     0.000,   0.090293,   0.000317,   0.007533,   0.007850,   0.000000,  -0.000000,  -0.060392,  -0.000000,  -0.000000,   50.0000,    0.6618
   -2.000,     0.000,   0.139415,   0.000620,   0.007225,   0.007845,   0.000000,  -0.000000,  -0.073709,  -0.000000,  -0.000000,   50.0000,    0.5430
   -1.500,     0.000,   0.188523,   0.001064,   0.006980,   0.008045,   0.000000,  -0.000000,  -0.087034,  -0.000000,  -0.000000,   50.0000,    0.4861
   -1.000,     0.000,   0.237611,   0.001649,   0.006793,   0.008442,   0.000000,  -0.000000,  -0.100363,  -0.000000,  -0.000000,   50.0000,    0.4528
   -0.500,     0.000,   0.286672,   0.002374,   0.006727,   0.009101,   0.000000,  -0.000000,  -0.113693,  -0.000000,  -0.000000,   50.0000,    0.4308
    0.000,     0.000,   0.335697,   0.003238,   0.006756,   0.009994,   0.000000,  -0.000000,  -0.127019,  -0.000000,  -0.000000,   50.0000,    0.4153
    0.500,     0.000,   0.384680,   0.004242,   0.006807,   0.011049,   0.000000,  -0.000000,  -0.140338,  -0.000000,  -0.000000,   50.0000,    0.4038
    1.000,     0.000,   0.433612,   0.005385,   0.006864,   0.012249,   0.000000,  -0.000000,  -0.153644,  -0.000000,  -0.000000,   50.0000,    0.3949
    1.500,     0.000,   0.482488,   0.006666,   0.006933,   0.013600,   0.000000,  -0.000000,  -0.166935,   0.000000,   0.000000,   50.0000,    0.3878
    2.000,     0.000,   0.531298,   0.008085,   0.006995,   0.015080,   0.000000,  -0.000000,  -0.180206,   0.000000,   0.000000,   50.0000,    0.3820
    2.500,     0.000,   0.580037,   0.009640,   0.007063,   0.016703,   0.000000,  -0.000000,  -0.193452,   0.000000,   0.000000,   50.0000,    0.3773
    3.000,     0.000,   0.628696,   0.011330,   0.007135,   0.018465,   0.000000,  -0.000000,  -0.206670,   0.000000,  -0.000000,   50.0000,    0.3733
    3.500,     0.000,   0.677268,   0.013155,   0.007204,   0.020360,   0.000000,  -0.000000,  -0.219856,   0.000000,   0.000000,   50.0000,    0.3699
    4.000,     0.000,   0.725747,   0.015113,   0.007285,   0.022398,  -0.000000,   0.000000,  -0.233006,   0.000000,   0.000000,   50.0000,    0.3669
    4.500,     0.000,   0.774125,   0.017203,   0.007369,   0.024572,  -0.000000,  -0.000000,  -0.246117,   0.000000,   0.000000,   50.0000,    0.3644
    5.000,     0.000,   0.822395,   0.019424,   0.007463,   0.026887,  -0.000000,   0.000000,  -0.259184,  -0.000000,  -0.000000,   50.0000,    0.3621
    5.500,     0.000,   0.870549,   0.021773,   0.007564,   0.029338,  -0.000000,   0.000000,  -0.272204,   0.000000,   0.000000,   50.0000,    0.3602
    6.000,     0.000,   0.918581,   0.024250,   0.007684,   0.031935,  -0.000000,   0.000000,  -0.285173,   0.000000,  -0.000000,   50.0000,    0.3585
    6.500,     0.000,   0.966484,   0.026853,   0.007819,   0.034672,  -0.000000,   0.000000,  -0.298087,   0.000000,   0.000000,   50.0000,    0.3569
    7.000,     0.000,   1.014250,   0.029580,   0.007989,   0.037568,  -0.000000,   0.000000,  -0.310943,   0.000000,   0.000000,   50.0000,    0.3556
    7.500,     0.000,   1.061873,   0.032428,   0.008198,   0.040627,  -0.000000,   0.000000,  -0.323736,  -0.000000,  -0.000000,   50.0000,    0.3543
    8.000,     0.000,   1.109347,   0.035397,   0.008446,   0.043843,  -0.000000,   0.000000,  -0.336464,   0.000000,   0.000000,   50.0000,    0.3532
    8.500,     0.000,   1.156663,   0.038484,   0.008722,   0.047206,  -0.000000,   0.000000,  -0.349123,   0.000000,   0.000000,   50.0000,    0.3522
    9.000,     0.000,   1.203815,   0.041686,   0.009027,   0.050713,  -0.000000,   0.000000,  -0.361709,   0.000000,  -0.000000,   50.0000,    0.3514
    9.500,     0.000,   1.250798,   0.045002,   0.009359,   0.054361,  -0.000000,   0.000000,  -0.374217,   0.000000,   0.000000,   50.0000,    0.3506
   10.000,     0.000,   1.297603,   0.048429,   0.009711,   0.058140,  -0.000000,   0.000000,  -0.386645,   0.000000,   0.000000,   50.0000,    0.3498


