xflr5 v6.61

Plane name :, Taper 0.35 k3.5 2412 0Iw 0It
Polar name :, T1-50.0 m/s-VLM1
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.208077,   0.001484,   0.009836,   0.011321,   0.000000,  -0.000000,  -0.031166,  -0.000000,  -0.000000,   50.0000,   -0.0271
   -5.000,     0.000,  -0.159096,   0.000941,   0.009434,   0.010375,   0.000000,  -0.000000,  -0.038582,  -0.000000,  -0.000000,   50.0000,   -0.1053
   -4.500,     0.000,  -0.110083,   0.000535,   0.009057,   0.009592,   0.000000,  -0.000000,  -0.046016,  -0.000000,  -0.000000,   50.0000,   -0.2530
   -4.000,     0.000,  -0.061045,   0.000268,   0.008706,   0.008974,   0.000000,  -0.000000,  -0.053465,  -0.000000,  -0.000000,   50.0000,   -0.6380
   -3.500,     0.000,  -0.011990,   0.000140,   0.008347,   0.008487,   0.000000,  -0.000000,  -0.060927,  -0.000000,  -0.000000,   50.0000,   -4.1735
   -3.000,     0.000,   0.037074,   0.000151,   0.007966,   0.008117,   0.000000,  -0.000000,  -0.068400,  -0.000000,  -0.000000,   50.0000,    1.6490
   -2.500,     0.000,   0.086141,   0.000301,   0.007558,   0.007859,   0.000000,  -0.000000,  -0.075881,  -0.000000,  -0.000000,   50.0000,    0.8384
   -2.000,     0.000,   0.135203,   0.000591,   0.007246,   0.007837,   0.000000,  -0.000000,  -0.083368,  -0.000000,  -0.000000,   50.0000,    0.6161
   -1.500,     0.000,   0.184252,   0.001021,   0.006999,   0.008020,   0.000000,  -0.000000,  -0.090859,  -0.000000,  -0.000000,   50.0000,    0.5122
   -1.000,     0.000,   0.233281,   0.001589,   0.006808,   0.008397,   0.000000,  -0.000000,  -0.098352,  -0.000000,  -0.000000,   50.0000,    0.4520
   -0.500,     0.000,   0.282283,   0.002297,   0.006739,   0.009036,   0.000000,  -0.000000,  -0.105844,  -0.000000,  -0.000000,   50.0000,    0.4127
    0.000,     0.000,   0.331251,   0.003143,   0.006768,   0.009912,   0.000000,  -0.000000,  -0.113333,  -0.000000,  -0.000000,   50.0000,    0.3851
    0.500,     0.000,   0.380177,   0.004128,   0.006821,   0.010949,   0.000000,  -0.000000,  -0.120817,  -0.000000,  -0.000000,   50.0000,    0.3646
    1.000,     0.000,   0.429053,   0.005251,   0.006879,   0.012130,   0.000000,  -0.000000,  -0.128293,   0.000000,  -0.000000,   50.0000,    0.3488
    1.500,     0.000,   0.477873,   0.006510,   0.006951,   0.013461,   0.000000,  -0.000000,  -0.135760,   0.000000,   0.000000,   50.0000,    0.3362
    2.000,     0.000,   0.526629,   0.007906,   0.007015,   0.014921,   0.000000,  -0.000000,  -0.143214,   0.000000,   0.000000,   50.0000,    0.3260
    2.500,     0.000,   0.575313,   0.009437,   0.007087,   0.016523,   0.000000,  -0.000000,  -0.150654,   0.000000,   0.000000,   50.0000,    0.3175
    3.000,     0.000,   0.623920,   0.011102,   0.007161,   0.018263,   0.000000,  -0.000000,  -0.158078,   0.000000,   0.000000,   50.0000,    0.3104
    3.500,     0.000,   0.672440,   0.012901,   0.007233,   0.020134,   0.000000,   0.000000,  -0.165482,   0.000000,   0.000000,   50.0000,    0.3043
    4.000,     0.000,   0.720868,   0.014832,   0.007316,   0.022148,   0.000000,  -0.000000,  -0.172865,   0.000000,   0.000000,   50.0000,    0.2990
    4.500,     0.000,   0.769195,   0.016894,   0.007400,   0.024294,   0.000000,   0.000000,  -0.180225,   0.000000,  -0.000000,   50.0000,    0.2945
    5.000,     0.000,   0.817416,   0.019085,   0.007494,   0.026578,  -0.000000,   0.000000,  -0.187559,   0.000000,   0.000000,   50.0000,    0.2904
    5.500,     0.000,   0.865522,   0.021404,   0.007595,   0.028999,  -0.000000,   0.000000,  -0.194865,   0.000000,   0.000000,   50.0000,    0.2869
    6.000,     0.000,   0.913507,   0.023850,   0.007715,   0.031564,  -0.000000,   0.000000,  -0.202142,   0.000000,   0.000000,   50.0000,    0.2837
    6.500,     0.000,   0.961363,   0.026420,   0.007850,   0.034270,  -0.000000,   0.000000,  -0.209387,   0.000000,   0.000000,   50.0000,    0.2809
    7.000,     0.000,   1.009085,   0.029113,   0.008020,   0.037134,  -0.000000,   0.000000,  -0.216598,   0.000000,  -0.000000,   50.0000,    0.2784
    7.500,     0.000,   1.056664,   0.031928,   0.008232,   0.040160,  -0.000000,   0.000000,  -0.223773,   0.000000,   0.000000,   50.0000,    0.2761
    8.000,     0.000,   1.104095,   0.034861,   0.008478,   0.043340,  -0.000000,   0.000000,  -0.230910,   0.000000,   0.000000,   50.0000,    0.2740
    8.500,     0.000,   1.151369,   0.037912,   0.008755,   0.046667,  -0.000000,   0.000000,  -0.238007,   0.000000,   0.000000,   50.0000,    0.2721
    9.000,     0.000,   1.198482,   0.041078,   0.009058,   0.050136,  -0.000000,   0.000000,  -0.245061,   0.000000,   0.000000,   50.0000,    0.2704
    9.500,     0.000,   1.245425,   0.044356,   0.009389,   0.053745,  -0.000000,   0.000000,  -0.252071,   0.000000,   0.000000,   50.0000,    0.2688
   10.000,     0.000,   1.292193,   0.047744,   0.009739,   0.057484,  -0.000000,   0.000000,  -0.259035,   0.000000,   0.000000,   50.0000,    0.2673


