xflr5 v6.61

Plane name :, Taper 0.35 k3.5 2412 0Iw 0It
Polar name :, T1-50.0 m/s-VLM1
Freestream speed :, 50.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.500,     0.000,  -0.203369,   0.001436,   0.009795,   0.011232,   0.000000,  -0.000000,   0.042628,  -0.000000,  -0.000000,   50.0000,    0.3129
   -5.000,     0.000,  -0.154301,   0.000900,   0.009395,   0.010295,   0.000000,  -0.000000,   0.028044,  -0.000000,  -0.000000,   50.0000,    0.2887
   -4.500,     0.000,  -0.105201,   0.000503,   0.009022,   0.009525,   0.000000,  -0.000000,   0.013422,  -0.000000,  -0.000000,   50.0000,    0.2419
   -4.000,     0.000,  -0.056077,   0.000246,   0.008672,   0.008918,   0.000000,  -0.000000,  -0.001234,  -0.000000,  -0.000000,   50.0000,    0.1132
   -3.500,     0.000,  -0.006936,   0.000130,   0.008312,   0.008443,   0.000000,  -0.000000,  -0.015918,  -0.000000,  -0.000000,   50.0000,   -1.8378
   -3.000,     0.000,   0.042213,   0.000155,   0.007929,   0.008084,   0.000000,  -0.000000,  -0.030627,  -0.000000,  -0.000000,   50.0000,    0.7544
   -2.500,     0.000,   0.091365,   0.000321,   0.007527,   0.007848,   0.000000,  -0.000000,  -0.045355,  -0.000000,  -0.000000,   50.0000,    0.5575
   -2.000,     0.000,   0.140510,   0.000628,   0.007220,   0.007848,   0.000000,  -0.000000,  -0.060100,  -0.000000,  -0.000000,   50.0000,    0.4984
   -1.500,     0.000,   0.189643,   0.001076,   0.006976,   0.008052,   0.000000,  -0.000000,  -0.074856,  -0.000000,  -0.000000,   50.0000,    0.4699
   -1.000,     0.000,   0.238755,   0.001665,   0.006789,   0.008454,   0.000000,  -0.000000,  -0.089619,  -0.000000,  -0.000000,   50.0000,    0.4532
   -0.500,     0.000,   0.287839,   0.002395,   0.006724,   0.009119,   0.000000,  -0.000000,  -0.104384,  -0.000000,  -0.000000,   50.0000,    0.4421
    0.000,     0.000,   0.336888,   0.003265,   0.006752,   0.010017,   0.000000,  -0.000000,  -0.119147,   0.000000,  -0.000000,   50.0000,    0.4343
    0.500,     0.000,   0.385894,   0.004275,   0.006803,   0.011077,   0.000000,  -0.000000,  -0.133904,   0.000000,  -0.000000,   50.0000,    0.4285
    1.000,     0.000,   0.434850,   0.005424,   0.006859,   0.012282,   0.000000,  -0.000000,  -0.148648,   0.000000,   0.000000,   50.0000,    0.4241
    1.500,     0.000,   0.483748,   0.006711,   0.006928,   0.013639,   0.000000,  -0.000000,  -0.163377,   0.000000,   0.000000,   50.0000,    0.4205
    2.000,     0.000,   0.532581,   0.008137,   0.006989,   0.015126,   0.000000,  -0.000000,  -0.178086,   0.000000,   0.000000,   50.0000,    0.4177
    2.500,     0.000,   0.581342,   0.009699,   0.007055,   0.016755,   0.000000,  -0.000000,  -0.192769,   0.000000,   0.000000,   50.0000,    0.4153
    3.000,     0.000,   0.630023,   0.011398,   0.007126,   0.018523,   0.000000,  -0.000000,  -0.207423,   0.000000,   0.000000,   50.0000,    0.4133
    3.500,     0.000,   0.678618,   0.013231,   0.007195,   0.020426,   0.000000,  -0.000000,  -0.222043,   0.000000,   0.000000,   50.0000,    0.4117
    4.000,     0.000,   0.727118,   0.015198,   0.007275,   0.022473,   0.000000,   0.000000,  -0.236625,   0.000000,   0.000000,   50.0000,    0.4102
    4.500,     0.000,   0.775517,   0.017297,   0.007360,   0.024657,  -0.000000,   0.000000,  -0.251165,   0.000000,   0.000000,   50.0000,    0.4090
    5.000,     0.000,   0.823808,   0.019527,   0.007454,   0.026981,  -0.000000,  -0.000000,  -0.265659,   0.000000,   0.000000,   50.0000,    0.4080
    5.500,     0.000,   0.871983,   0.021886,   0.007556,   0.029442,  -0.000000,   0.000000,  -0.280102,   0.000000,   0.000000,   50.0000,    0.4070
    6.000,     0.000,   0.920035,   0.024373,   0.007676,   0.032049,  -0.000000,   0.000000,  -0.294491,   0.000000,   0.000000,   50.0000,    0.4063
    6.500,     0.000,   0.967958,   0.026986,   0.007810,   0.034797,  -0.000000,   0.000000,  -0.308821,   0.000000,   0.000000,   50.0000,    0.4056
    7.000,     0.000,   1.015744,   0.029724,   0.007980,   0.037704,  -0.000000,   0.000000,  -0.323088,   0.000000,   0.000000,   50.0000,    0.4050
    7.500,     0.000,   1.063386,   0.032584,   0.008190,   0.040774,  -0.000000,   0.000000,  -0.337288,   0.000000,   0.000000,   50.0000,    0.4044
    8.000,     0.000,   1.110878,   0.035564,   0.008438,   0.044002,  -0.000000,   0.000000,  -0.351418,   0.000000,   0.000000,   50.0000,    0.4040
    8.500,     0.000,   1.158213,   0.038662,   0.008715,   0.047377,  -0.000000,   0.000000,  -0.365472,   0.000000,   0.000000,   50.0000,    0.4036
    9.000,     0.000,   1.205384,   0.041877,   0.009020,   0.050897,  -0.000000,   0.000000,  -0.379447,  -0.000000,  -0.000000,   50.0000,    0.4033
    9.500,     0.000,   1.252384,   0.045206,   0.009353,   0.054558,  -0.000000,   0.000000,  -0.393339,   0.000000,   0.000000,   50.0000,    0.4030
   10.000,     0.000,   1.299207,   0.048645,   0.009704,   0.058350,  -0.000000,   0.000000,  -0.407143,   0.000000,   0.000000,   50.0000,    0.4028


